cell,type,class,sx,sy,px,py
FE_OFC83622_pci_ad_oe_o_12,BUFx6f_ASAP7_75t_L,core,540,270,26604,54738
FE_OFC83620_pci_frame_oe_o,BUFx6f_ASAP7_75t_L,core,540,270,54792,25578
FE_OFC83618_wbs_dat_o_8,BUFx6f_ASAP7_75t_L,core,540,270,25848,54198
FE_OFC83616_wbm_dat_o_9,BUFx6f_ASAP7_75t_L,core,540,270,26334,53928
FE_OFC83614_wbm_dat_o_11,BUFx6f_ASAP7_75t_L,core,540,270,1548,26658
FE_OFC83612_pci_cbe_o_2,BUFx6f_ASAP7_75t_L,core,540,270,30924,54738
FE_OFC83610_pci_ad_o_27,BUFx6f_ASAP7_75t_L,core,540,270,28386,55008
FE_OFC83608_wbm_adr_o_24,BUFx6f_ASAP7_75t_L,core,540,270,1008,29628
FE_OFC83606_wbm_dat_o_5,BUFx6f_ASAP7_75t_L,core,540,270,31356,54468
FE_OFC83604_wbm_dat_o_24,BUFx6f_ASAP7_75t_L,core,540,270,30816,54468
FE_OFC83602_wbm_adr_o_22,BUFx6f_ASAP7_75t_L,core,540,270,1008,27198
FE_OFC83600_pci_frame_o,BUFx6f_ASAP7_75t_L,core,540,270,1008,25308
FE_OFC83598_wbm_adr_o_31,BUFx6f_ASAP7_75t_L,core,540,270,55332,30438
FE_OFC83596_pci_ad_o_16,BUFx6f_ASAP7_75t_L,core,540,270,28008,55278
FE_OFC83594_wbm_adr_o_29,BUFx6f_ASAP7_75t_L,core,540,270,26928,1008
FE_OFC2774_wbm_dat_o_11,HB1xp67_ASAP7_75t_L,core,216,270,4032,18558
FE_OFC2773_pci_ad_o_9,HB1xp67_ASAP7_75t_SL,core,216,270,54900,23418
FE_OFC2772_pci_ad_o_31,HB1xp67_ASAP7_75t_SL,core,216,270,55116,23688
FE_OFC2771_pci_ad_o_29,HB1xp67_ASAP7_75t_SL,core,216,270,54360,24498
FE_OFC2770_wbm_stb_o,HB1xp67_ASAP7_75t_SL,core,216,270,4734,26388
FE_OFC2769_pci_ad_o_17,HB1xp67_ASAP7_75t_SL,core,216,270,55008,24228
FE_OFC2768_wbm_sel_o_0,HB1xp67_ASAP7_75t_SL,core,216,270,30276,52578
FE_OFC2767_wbm_dat_o_27,HB1xp67_ASAP7_75t_SL,core,216,270,55332,30978
FE_OFC2766_wbm_adr_o_5,HB1xp67_ASAP7_75t_SL,core,216,270,54576,30438
FE_OFC2765_wbm_adr_o_18,HB1xp67_ASAP7_75t_SL,core,216,270,24930,53658
FE_OFC2764_wbm_adr_o_21,HB1xp67_ASAP7_75t_SL,core,216,270,54360,26928
FE_OFC2763_pci_ad_o_14,HB1xp67_ASAP7_75t_SL,core,216,270,27630,53658
FE_OFC2762_wbm_adr_o_9,HB1xp67_ASAP7_75t_SL,core,216,270,54792,30708
FE_OFC2761_wbs_dat_o_8,HB1xp67_ASAP7_75t_L,core,216,270,26064,52578
FE_OFC2760_wbm_dat_o_29,HB1xp67_ASAP7_75t_L,core,216,270,4086,26388
FE_OFC83592_pci_ad_oe_o_1,BUFx6f_ASAP7_75t_SL,core,540,270,55332,28548
FE_OFC83590_pci_ad_oe_o_3,BUFx6f_ASAP7_75t_SL,core,540,270,55332,28278
FE_OFC83588_pci_ad_oe_o_17,BUFx6f_ASAP7_75t_SL,core,540,270,54792,27198
FE_OFC83586_pci_ad_oe_o_20,BUFx6f_ASAP7_75t_SL,core,540,270,54900,28008
FE_OFC83584_pci_perr_oe_o,BUFx6f_ASAP7_75t_SL,core,540,270,55332,31788
FE_OFC83582_wbm_dat_o_3,BUFx6f_ASAP7_75t_SL,core,540,270,25308,55278
FE_OFC83580_pci_ad_oe_o_10,BUFx6f_ASAP7_75t_SL,core,540,270,30006,55008
FE_OFC83578_pci_ad_oe_o_6,BUFx6f_ASAP7_75t_SL,core,540,270,26766,55008
FE_OFC83576_pci_ad_oe_o_26,BUFx6f_ASAP7_75t_L,core,540,270,27144,54738
FE_OFC83574_wbs_dat_o_13,BUFx6f_ASAP7_75t_SL,core,540,270,54792,30978
FE_OFC83572_wbs_dat_o_5,BUFx6f_ASAP7_75t_SL,core,540,270,55332,31518
FE_OFC83570_pci_ad_oe_o_25,BUFx6f_ASAP7_75t_SL,core,540,270,26928,55278
FE_OFC83568_pci_ad_oe_o_7,BUFx6f_ASAP7_75t_SL,core,540,270,30492,1278
FE_OFC83566_pci_ad_oe_o_24,BUFx6f_ASAP7_75t_SL,core,540,270,27468,1008
FE_OFC83564_pci_ad_oe_o_28,BUFx6f_ASAP7_75t_SL,core,540,270,28926,55008
FE_OFC83562_pci_ad_oe_o_16,BUFx6f_ASAP7_75t_SL,core,540,270,29196,54468
FE_OFC83560_wbs_dat_o_21,BUFx6f_ASAP7_75t_L,core,540,270,55332,32058
FE_OFC83558_pci_ad_o_11,BUFx6f_ASAP7_75t_SL,core,540,270,54792,27738
FE_OFC83556_pci_ad_o_3,BUFx6f_ASAP7_75t_L,core,540,270,54252,25308
FE_OFC83554_pci_ad_oe_o_30,BUFx6f_ASAP7_75t_L,core,540,270,55332,26658
FE_OFC83552_wbm_dat_o_28,BUFx6f_ASAP7_75t_SL,core,540,270,1008,26928
FE_OFC83550_pci_ad_oe_o_8,BUFx6f_ASAP7_75t_L,core,540,270,30060,1818
FE_OFC83548_wbm_cti_o_2,BUFx6f_ASAP7_75t_L,core,540,270,27036,1818
FE_OFC83546_pci_devsel_o,BUFx6f_ASAP7_75t_L,core,540,270,24336,1818
FE_OFC83544_pci_stop_o,BUFx6f_ASAP7_75t_L,core,540,270,25416,2628
FE_OFC83542_wbm_dat_o_1,BUFx6f_ASAP7_75t_L,core,540,270,1548,30438
FE_OFC83540_wbs_rty_o,BUFx6f_ASAP7_75t_L,core,540,270,54252,26118
FE_OFC83538_pci_trdy_o,BUFx6f_ASAP7_75t_L,core,540,270,55332,32328
FE_OFC83536_pci_ad_oe_o_29,BUFx6f_ASAP7_75t_L,core,540,270,31140,1818
FE_OFC83534_pci_req_oe_o,BUFx6f_ASAP7_75t_L,core,540,270,1548,30978
FE_OFC83532_pci_ad_o_26,BUFx6f_ASAP7_75t_L,core,540,270,28224,54738
FE_OFC83530_wbs_dat_o_23,BUFx6f_ASAP7_75t_L,core,540,270,25416,1818
FE_OFC83528_pci_ad_oe_o_15,BUFx6f_ASAP7_75t_L,core,540,270,31572,1278
FE_OFC83526_pci_ad_oe_o_27,BUFx6f_ASAP7_75t_L,core,540,270,31248,1548
FE_OFC83524_pci_ad_oe_o_18,BUFx6f_ASAP7_75t_L,core,540,270,1440,27738
FE_OFC83522_wbs_dat_o_4,BUFx6f_ASAP7_75t_L,core,540,270,24876,54468
FE_OFC83520_wbm_dat_o_2,BUFx6f_ASAP7_75t_L,core,540,270,25848,1008
FE_OFC83518_pci_ad_oe_o_21,BUFx6f_ASAP7_75t_L,core,540,270,1548,28818
FE_OFC83516_wbs_dat_o_31,BUFx6f_ASAP7_75t_L,core,540,270,55332,25308
FE_OFC83514_pci_ad_oe_o_9,BUFx6f_ASAP7_75t_L,core,540,270,29088,1008
FE_OFC83512_pci_ad_oe_o_31,BUFx6f_ASAP7_75t_L,core,540,270,29736,54198
FE_OFC83510_pci_stop_oe_o,BUFx6f_ASAP7_75t_L,core,540,270,32220,55278
FE_OFC83508_pci_ad_oe_o_23,BUFx6f_ASAP7_75t_L,core,540,270,27576,1548
FE_OFC83506_wbm_adr_o_8,BUFx6f_ASAP7_75t_L,core,540,270,1008,29898
FE_OFC83504_wbs_dat_o_27,BUFx6f_ASAP7_75t_L,core,540,270,25308,1278
FE_OFC83502_wbs_dat_o_2,BUFx6f_ASAP7_75t_L,core,540,270,1548,25578
FE_OFC83500_pci_ad_oe_o_11,BUFx6f_ASAP7_75t_L,core,540,270,31086,55008
FE_OFC83498_wbs_dat_o_20,BUFx6f_ASAP7_75t_L,core,540,270,1548,26118
FE_OFC83496_wbm_dat_o_21,HB1xp67_ASAP7_75t_SL,core,216,270,29844,3708
FE_OFC83494_wbs_dat_o_7,BUFx6f_ASAP7_75t_L,core,540,270,24552,1548
FE_OFC83492_wbm_dat_o_20,BUFx6f_ASAP7_75t_L,core,540,270,31680,1008
FE_OFC83490_wbs_dat_o_15,BUFx6f_ASAP7_75t_L,core,540,270,32220,1548
FE_OFC83488_pci_cbe_oe_o_0,BUFx6f_ASAP7_75t_L,core,540,270,1980,29358
FE_OFC83486_wbs_dat_o_16,BUFx6f_ASAP7_75t_L,core,540,270,32976,54468
FE_OFC83484_wbs_dat_o_12,BUFx6f_ASAP7_75t_L,core,540,270,1008,25848
FE_OFC83482_wbs_dat_o_10,BUFx12f_ASAP7_75t_L,core,972,270,33516,54738
FE_OFC83480_wbm_we_o,BUFx6f_ASAP7_75t_L,core,540,270,55332,25578
FE_OFC83478_pci_serr_o,BUFx6f_ASAP7_75t_L,core,540,270,1548,25038
FE_OFC83476_pci_cbe_oe_o_1,BUFx6f_ASAP7_75t_L,core,540,270,27252,1278
FE_OFC83474_wbm_dat_o_17,BUFx6f_ASAP7_75t_L,core,540,270,2088,29628
FE_OFC83472_wbs_dat_o_18,BUFx6f_ASAP7_75t_L,core,540,270,24606,55008
FE_OFC83470_wbs_dat_o_29,BUFx6f_ASAP7_75t_L,core,540,270,32544,54738
FE_OFC83468_wbm_dat_o_15,BUFx6f_ASAP7_75t_L,core,540,270,1008,26388
FE_OFC83466_wbs_dat_o_11,BUFx6f_ASAP7_75t_L,core,540,270,54792,26118
FE_OFC83464_pci_trdy_oe_o,BUFx6f_ASAP7_75t_L,core,540,270,24012,1548
FE_OFC83462_pci_par_o,BUFx6f_ASAP7_75t_L,core,540,270,32598,55008
FE_OFC83460_wbs_dat_o_24,BUFx6f_ASAP7_75t_L,core,540,270,24768,55278
FE_OFC83458_pci_cbe_oe_o_2,BUFx6f_ASAP7_75t_L,core,540,270,26226,55008
FE_OFC83456_wbs_dat_o_0,BUFx6f_ASAP7_75t_L,core,540,270,55332,25848
FE_OFC83454_wbm_adr_o_4,BUFx6f_ASAP7_75t_L,core,540,270,25848,55278
FE_OFC83452_wbm_dat_o_7,BUFx6f_ASAP7_75t_L,core,540,270,31680,55278
FE_OFC83450_wbs_dat_o_1,BUFx6f_ASAP7_75t_L,core,540,270,32004,54738
FE_OFC83448_wbs_dat_o_28,BUFx6f_ASAP7_75t_L,core,540,270,31896,54468
FE_OFC83446_wbm_adr_o_1,BUFx6f_ASAP7_75t_L,core,540,270,25956,1548
FE_OFC83444_wbs_err_o,BUFx6f_ASAP7_75t_L,core,540,270,32760,55278
FE_OFC83442_wbm_dat_o_31,BUFx6f_ASAP7_75t_L,core,540,270,1008,30168
FE_OFC83440_wbm_adr_o_25,BUFx6f_ASAP7_75t_L,core,540,270,30600,1008
FE_OFC83438_wbm_dat_o_6,BUFx6f_ASAP7_75t_L,core,540,270,29466,2088
FE_OFC83436_wbs_dat_o_30,BUFx6f_ASAP7_75t_L,core,540,270,25146,55008
FE_OFC83434_pci_ad_o_18,BUFx6f_ASAP7_75t_L,core,540,270,1008,28008
FE_OFC83432_pci_ad_o_30,BUFx6f_ASAP7_75t_L,core,540,270,1008,28548
FE_OFC83430_pci_ad_o_20,BUFx6f_ASAP7_75t_L,core,540,270,1548,28548
FE_OFC83428_pci_cbe_oe_o_3,BUFx6f_ASAP7_75t_L,core,540,270,29628,1548
FE_OFC83426_wbm_dat_o_18,BUFx6f_ASAP7_75t_L,core,540,270,25956,1818
FE_OFC83424_pci_ad_o_5,BUFx6f_ASAP7_75t_L,core,540,270,28872,1278
FE_OFC83422_wbm_adr_o_6,BUFx6f_ASAP7_75t_L,core,540,270,1548,27468
FE_OFC83420_wbm_dat_o_22,BUFx6f_ASAP7_75t_L,core,540,270,25308,1008
FE_OFC83418_pci_irdy_oe_o,BUFx6f_ASAP7_75t_L,core,540,270,54252,26388
FE_OFC83416_wbm_dat_o_8,BUFx6f_ASAP7_75t_L,core,540,270,24768,1278
FE_OFC83414_pci_ad_o_12,BUFx6f_ASAP7_75t_L,core,540,270,1008,29088
FE_OFC83412_pci_ad_o_7,BUFx6f_ASAP7_75t_L,core,540,270,28980,1818
FE_OFC83410_pci_ad_o_1,BUFx6f_ASAP7_75t_L,core,540,270,28548,1548
FE_OFC83408_wbm_dat_o_25,BUFx6f_ASAP7_75t_L,core,540,270,26064,54738
FE_OFC83406_pci_ad_o_24,BUFx6f_ASAP7_75t_L,core,540,270,29628,1008
FE_OFC83404_pci_inta_oe_o,BUFx6f_ASAP7_75t_L,core,540,270,1548,31518
FE_OFC83402_wbm_dat_o_4,BUFx6f_ASAP7_75t_L,core,540,270,32112,1278
FE_OFC83400_pci_ad_o_0,BUFx6f_ASAP7_75t_L,core,540,270,1008,26658
FE_OFC83398_pci_ad_o_10,BUFx6f_ASAP7_75t_L,core,540,270,1008,27468
FE_OFC83396_wbm_dat_o_13,BUFx6f_ASAP7_75t_L,core,540,270,1008,30438
FE_OFC83394_pci_ad_o_4,BUFx6f_ASAP7_75t_L,core,540,270,1008,28818
FE_OFC83392_pci_ad_o_13,BUFx6f_ASAP7_75t_L,core,540,270,28656,2358
FE_OFC83390_pci_ad_o_23,BUFx6f_ASAP7_75t_L,core,540,270,29952,1278
FE_OFC83388_pci_ad_o_15,BUFx6f_ASAP7_75t_L,core,540,270,28008,1008
FE_OFC83386_pci_cbe_o_1,BUFx6f_ASAP7_75t_L,core,540,270,31032,1278
FE_OFC83384_pci_ad_o_28,BUFx6f_ASAP7_75t_L,core,540,270,27846,55008
FE_OFC83382_pci_cbe_o_3,BUFx6f_ASAP7_75t_L,core,540,270,27036,1548
FE_OFC83380_pci_ad_o_21,BUFx6f_ASAP7_75t_L,core,540,270,28548,1008
FE_OFC83378_wbm_sel_o_3,BUFx6f_ASAP7_75t_L,core,540,270,25416,54468
FE_OFC83376_wbm_adr_o_28,BUFx6f_ASAP7_75t_L,core,540,270,2088,27468
FE_OFC83374_wbm_adr_o_3,BUFx6f_ASAP7_75t_L,core,540,270,30276,54468
FE_OFC83372_pci_irdy_o,BUFx6f_ASAP7_75t_L,core,540,270,32436,54468
FE_OFC83370_pci_cbe_o_0,BUFx6f_ASAP7_75t_L,core,540,270,29736,54468
FE_OFC83368_wbm_adr_o_2,BUFx6f_ASAP7_75t_L,core,540,270,31464,54738
FE_OFC83366_wbm_cti_o_0,BUFx6f_ASAP7_75t_L,core,540,270,54792,28818
FE_OFC83364_wbm_adr_o_14,BUFx6f_ASAP7_75t_L,core,540,270,1440,29358
FE_OFC83362_wbm_adr_o_12,BUFx6f_ASAP7_75t_L,core,540,270,30060,55278
FE_OFC83360_wbm_adr_o_30,BUFx6f_ASAP7_75t_L,core,540,270,26388,55278
FE_OFC83358_wbm_dat_o_19,BUFx6f_ASAP7_75t_L,core,540,270,25686,55008
FE_OFC83356_wbm_dat_o_23,BUFx6f_ASAP7_75t_L,core,540,270,31140,55278
FE_OFC83354_wbs_dat_o_6,BUFx6f_ASAP7_75t_L,core,540,270,1008,31248
FE_OFC83352_wbm_dat_o_26,BUFx6f_ASAP7_75t_L,core,540,270,54792,27468
FE_OFC83350_wbm_dat_o_30,BUFx6f_ASAP7_75t_L,core,540,270,55332,29898
FE_OFC83348_pci_ad_o_2,BUFx6f_ASAP7_75t_L,core,540,270,27792,54198
FE_OFC83346_wbm_adr_o_23,BUFx6f_ASAP7_75t_L,core,540,270,55332,29088
FE_OFC83344_wbm_dat_o_10,BUFx6f_ASAP7_75t_L,core,540,270,55332,26388
FE_OFC83342_wbm_dat_o_12,BUFx6f_ASAP7_75t_L,core,540,270,54792,29628
FE_OFC83340_wbm_dat_o_16,BUFx6f_ASAP7_75t_L,core,540,270,55332,30168
FE_OFC83338_wbs_ack_o,BUFx6f_ASAP7_75t_L,core,540,270,1008,25578
FE_OFC83336_wbm_adr_o_10,BUFx6f_ASAP7_75t_L,core,540,270,1548,27198
FE_OFC83334_wbm_dat_o_0,BUFx6f_ASAP7_75t_L,core,540,270,54792,30168
FE_OFC83332_pci_ad_o_22,BUFx6f_ASAP7_75t_L,core,540,270,27468,55278
FE_OFC83330_pci_ad_o_6,BUFx6f_ASAP7_75t_L,core,540,270,27306,55008
FE_OFC83328_wbm_dat_o_14,BUFx6f_ASAP7_75t_L,core,540,270,54252,26658
FE_OFC83326_pci_ad_o_19,BUFx6f_ASAP7_75t_L,core,540,270,55332,27738
FE_OFC83324_pci_ad_o_8,BUFx6f_ASAP7_75t_L,core,540,270,29304,54738
FE_OFC83322_wbm_adr_o_27,BUFx6f_ASAP7_75t_L,core,540,270,28656,54468
FE_OFC83320_wbm_adr_o_13,BUFx6f_ASAP7_75t_L,core,540,270,55332,28818
FE_OFC83318_wbm_adr_o_26,BUFx6f_ASAP7_75t_L,core,540,270,55332,27198
FE_OFC83316_wbm_adr_o_20,BUFx6f_ASAP7_75t_L,core,540,270,30384,54738
FE_OFC83314_wbs_dat_o_3,BUFx6f_ASAP7_75t_L,core,540,270,24876,1818
FE_OFC83312_wbm_adr_o_15,BUFx6f_ASAP7_75t_L,core,540,270,27576,1818
FE_OFC83310_wbm_cyc_o,BUFx6f_ASAP7_75t_L,core,540,270,32220,1008
FE_OFC83308_wbm_adr_o_11,BUFx6f_ASAP7_75t_L,core,540,270,31140,1008
FE_OFC83306_wbm_adr_o_17,BUFx6f_ASAP7_75t_L,core,540,270,27036,54468
FE_OFC83304_wbm_adr_o_7,BUFx6f_ASAP7_75t_L,core,540,270,54792,29088
FE_OFC83302_wbm_adr_o_16,BUFx6f_ASAP7_75t_L,core,540,270,26280,1278
FE_OFC83300_wbm_adr_o_19,BUFx6f_ASAP7_75t_L,core,540,270,30600,1818
FE_OFC2759_wbu_cache_line_size_in_7,INVx1_ASAP7_75t_L,core,162,270,24390,27468
FE_OFC2758_wishbone_slave_unit_pci_initiator_if_data_source,INVx1_ASAP7_75t_L,core,162,270,32544,25308
FE_OFC2757_wishbone_slave_unit_fifos_wbr_fifo_ctrl_raddr_1,INVx1_ASAP7_75t_L,core,162,270,43668,38268
FE_OFC2756_wishbone_slave_unit_fifos_wbr_fifo_ctrl_raddr_3,INVx1_ASAP7_75t_L,core,162,270,43830,37188
FE_OFC2755_wbu_pciif_ad_reg_in_10,BUFx3_ASAP7_75t_L,core,324,270,26388,48798
FE_OFC2754_wishbone_slave_unit_fifos_wbr_fifo_ctrl_raddr_0,INVx1_ASAP7_75t_L,core,162,270,42912,38538
FE_OFC2753_pci_target_unit_wbm_sm_pciw_fifo_addr_data_in_1,INVx1_ASAP7_75t_L,core,162,270,8838,34488
FE_OFC2752_wishbone_slave_unit_pcim_if_rdy_out,HB1xp67_ASAP7_75t_L,core,216,270,32328,32328
FE_OFC2751_pci_target_unit_fifos_pciw_fifo_ctrl_rgrey_addr_1,INVx1_ASAP7_75t_L,core,162,270,20502,49338
FE_OFC2750_wishbone_slave_unit_fifos_wbw_whole_waddr_2,INVx1_ASAP7_75t_L,core,162,270,47610,20718
FE_OFC2749_wishbone_slave_unit_fifos_wbw_whole_waddr_2,INVx1_ASAP7_75t_L,core,162,270,47286,20718
FE_OFC2748_conf_wb_err_addr_in_9,HB1xp67_ASAP7_75t_L,core,216,270,24768,9378
FE_OFC2747_wbu_pciif_ad_reg_in_13,INVx1_ASAP7_75t_L,core,162,270,9540,30438
FE_OFC2746_wbu_pciif_ad_reg_in_13,INVx1_ASAP7_75t_L,core,162,270,10242,26658
FE_OFC2745_wbu_pciif_ad_reg_in_13,INVx2_ASAP7_75t_L,core,216,270,9486,29898
FE_OFC2744_wbu_pciif_ad_reg_in_13,INVx1_ASAP7_75t_L,core,162,270,8298,17478
FE_OFC2743_wbu_pciif_ad_reg_in_13,BUFx3_ASAP7_75t_L,core,324,270,14292,5328
FE_OFC2742_wbm_dat_o_29,BUFx2_ASAP7_75t_SL,core,270,270,3276,26928
FE_OFC2741_pci_target_unit_fifos_pcir_fifo_ctrl_rclk_wgrey_addr_1,INVx1_ASAP7_75t_L,core,162,270,53982,40968
FE_OFC2740_n_7506,INVx2_ASAP7_75t_L,core,216,270,19692,49338
FE_OFC2739_pci_target_unit_fifos_pcir_fifo_ctrl_rclk_wgrey_addr_0,INVx1_ASAP7_75t_L,core,162,270,53712,40698
FE_OFC2738_wbu_pciif_ad_reg_in_28,INVx1_ASAP7_75t_L,core,162,270,23796,32058
FE_OFC2737_wbu_pciif_ad_reg_in_28,INVx2_ASAP7_75t_L,core,216,270,23850,46098
FE_OFC2736_wbu_pciif_ad_reg_in_28,BUFx4f_ASAP7_75t_L,core,432,270,23418,46098
FE_OFC2735_wishbone_slave_unit_fifos_wbr_fifo_ctrl_rclk_wgrey_addr_1,INVx1_ASAP7_75t_L,core,162,270,46692,36918
FE_OFC2734_pci_target_unit_fifos_pcir_fifo_ctrl_rclk_wgrey_addr_2,INVx1_ASAP7_75t_L,core,162,270,53010,41778
FE_OFC2733_configuration_pci_ta1_11,INVx1_ASAP7_75t_L,core,162,270,9918,14238
FE_OFC2732_wishbone_slave_unit_fifos_wbw_fifo_ctrl_wgrey_next_0,INVx1_ASAP7_75t_SL,core,162,270,51282,22068
FE_OFC2731_in_reg_cbe_out_1,HB1xp67_ASAP7_75t_L,core,216,270,21258,36918
FE_OFC2730_in_reg_cbe_out_1,INVx1_ASAP7_75t_L,core,162,270,21042,33948
FE_OFC2729_in_reg_cbe_out_1,BUFx2_ASAP7_75t_L,core,270,270,21150,32328
FE_OFC2728_wbu_pciif_ad_reg_in_17,BUFx3_ASAP7_75t_L,core,324,270,25632,28548
FE_OFC2727_wbu_pciif_ad_reg_in_17,INVx2_ASAP7_75t_L,core,216,270,25956,28548
FE_OFC2726_conf_w_addr_in_7,INVx2_ASAP7_75t_SL,core,216,270,17586,29898
FE_OFC2725_conf_w_addr_in_7,HB1xp67_ASAP7_75t_L,core,216,270,17262,30978
FE_OFC2724_pci_target_unit_del_sync_req_comp_pending,HB1xp67_ASAP7_75t_L,core,216,270,25902,41508
FE_OFC2723_pci_target_unit_del_sync_req_comp_pending,INVx2_ASAP7_75t_SL,core,216,270,25578,41508
FE_OFC2722_wishbone_slave_unit_wishbone_slave_img_wallow,INVx1_ASAP7_75t_SL,core,162,270,37458,30978
FE_OFC2721_wishbone_slave_unit_fifos_outGreyCount_2,INVx2_ASAP7_75t_SL,core,216,270,51012,31788
FE_OFC2720_wbu_pciif_ad_reg_in_8,INVx1_ASAP7_75t_L,core,162,270,13860,28818
FE_OFC2719_wbu_pciif_ad_reg_in_8,BUFx4f_ASAP7_75t_SL,core,432,270,16830,5058
FE_OFC2718_wbu_pciif_ad_reg_in_15,HB1xp67_ASAP7_75t_L,core,216,270,9324,30438
FE_OFC2717_wbu_pciif_ad_reg_in_15,INVx4_ASAP7_75t_L,core,324,270,9810,30708
FE_OFC2716_wbu_pciif_ad_reg_in_15,BUFx4f_ASAP7_75t_SL,core,432,270,13482,4788
FE_OFC2715_wishbone_slave_unit_wishbone_slave_c_state_1,INVx1_ASAP7_75t_L,core,162,270,37944,26118
FE_OFC2714_wishbone_slave_unit_wishbone_slave_c_state_1,INVx2_ASAP7_75t_L,core,216,270,37080,25848
FE_OFC2713_out_bckp_irdy_out,INVx1_ASAP7_75t_L,core,162,270,29142,33948
FE_OFC2712_wbm_adr_o_16,HB1xp67_ASAP7_75t_L,core,216,270,12240,32598
FE_OFC2711_wbu_pciif_ad_reg_in_11,INVx1_ASAP7_75t_L,core,162,270,13320,30978
FE_OFC2710_wbu_pciif_ad_reg_in_11,BUFx3_ASAP7_75t_L,core,324,270,15750,5058
FE_OFC2709_pci_target_unit_wbm_sm_pci_tar_cmd_3,HB1xp67_ASAP7_75t_L,core,216,270,21312,38808
FE_OFC2708_wbu_pciif_ad_reg_in_24,HB1xp67_ASAP7_75t_L,core,216,270,11970,25848
FE_OFC2707_wbu_pciif_ad_reg_in_24,INVx2_ASAP7_75t_L,core,216,270,11484,28548
FE_OFC2706_wbu_pciif_ad_reg_in_24,INVx1_ASAP7_75t_L,core,162,270,12834,38538
FE_OFC2705_wbu_pciif_ad_reg_in_24,BUFx4f_ASAP7_75t_SL,core,432,270,24552,47448
FE_OFC2704_wbu_pciif_ad_reg_in_16,INVx2_ASAP7_75t_L,core,216,270,17424,42318
FE_OFC2703_wbu_pciif_ad_reg_in_16,BUFx3_ASAP7_75t_L,core,324,270,18180,42048
FE_OFC2702_wbm_adr_o_7,HB1xp67_ASAP7_75t_L,core,216,270,13482,30438
FE_OFC2701_pciu_bar0_in_9,INVx1_ASAP7_75t_L,core,162,270,9648,29088
