"from_pin.full_name","to_pin.full_name",sense,delay_max_rise,delay_max_fall,"variation_delay_max_rise.mean","variation_delay_max_rise.std_dev","variation_delay_max_fall.mean","variation_delay_max_fall.std_dev"
FE_DBTC18_n_14989_dup1/A,FE_DBTC18_n_14989_dup1/Y,negative_unate,15.246250,12.653766,15.246250,UNINIT,12.653766,UNINIT
FE_DBTC18_n_14989_dup/A,FE_DBTC18_n_14989_dup/Y,negative_unate,13.773194,11.050108,13.773194,UNINIT,11.050108,UNINIT
FE_OCPC329_n_14989/A,FE_OCPC329_n_14989/Y,positive_unate,15.898966,17.217316,15.898966,UNINIT,17.217316,UNINIT
FE_OCPC260_n_4521_dup/A,FE_OCPC260_n_4521_dup/Y,negative_unate,9.430160,7.656189,9.430160,UNINIT,7.656189,UNINIT
g51478/A,g51478/Y,positive_unate,24.901411,25.618397,24.901411,UNINIT,25.618397,UNINIT
g51478/B,g51478/Y,positive_unate,27.131393,26.162222,27.131393,UNINIT,26.162222,UNINIT
g51480/A,g51480/Y,positive_unate,23.957754,25.765532,23.957754,UNINIT,25.765532,UNINIT
g51480/B,g51480/Y,positive_unate,25.169992,24.208614,25.169992,UNINIT,24.208614,UNINIT
g47834/A,g47834/Y,positive_unate,21.226467,22.618271,21.226467,UNINIT,22.618271,UNINIT
g47834/B,g47834/Y,positive_unate,23.494297,23.198647,23.494297,UNINIT,23.198647,UNINIT
g51480_dup/A,g51480_dup/Y,positive_unate,25.884693,27.337847,25.884693,UNINIT,27.337847,UNINIT
g51480_dup/B,g51480_dup/Y,positive_unate,27.095102,25.791412,27.095102,UNINIT,25.791412,UNINIT
FE_OCPC260_n_4521/A,FE_OCPC260_n_4521/Y,negative_unate,8.965067,7.222754,8.965067,UNINIT,7.222754,UNINIT
g47834_dup/A,g47834_dup/Y,positive_unate,20.626593,21.986595,20.626593,UNINIT,21.986595,UNINIT
g47834_dup/B,g47834_dup/Y,positive_unate,22.692295,22.450924,22.692295,UNINIT,22.450924,UNINIT
FE_OFC173_n_8607/A,FE_OFC173_n_8607/Y,negative_unate,11.495968,10.241453,11.495968,UNINIT,10.241453,UNINIT
g44341/A,g44341/Y,negative_unate,21.187454,18.750832,21.187454,UNINIT,18.750832,UNINIT
g44346/A,g44346/Y,negative_unate,9.135264,9.993520,9.135264,UNINIT,9.993520,UNINIT
g44346/B,g44346/Y,negative_unate,9.529348,9.164757,9.529348,UNINIT,9.164757,UNINIT
g46773/A,g46773/Y,positive_unate,17.738195,19.219303,17.738195,UNINIT,19.219303,UNINIT
g46773/B,g46773/Y,positive_unate,18.340420,17.656334,18.340420,UNINIT,17.656334,UNINIT
g50585/A,g50585/Y,positive_unate,21.099525,22.010431,21.099525,UNINIT,22.010431,UNINIT
g50585/B,g50585/Y,positive_unate,21.698225,20.406807,21.698225,UNINIT,20.406807,UNINIT
FE_OFC392_n_12937/A,FE_OFC392_n_12937/Y,negative_unate,20.200573,17.340559,20.200573,UNINIT,17.340559,UNINIT
FE_OFC387_n_12937/A,FE_OFC387_n_12937/Y,negative_unate,12.946714,11.236432,12.946714,UNINIT,11.236432,UNINIT
FE_OFC393_n_12937/A,FE_OFC393_n_12937/Y,positive_unate,29.819176,29.286291,29.819176,UNINIT,29.286291,UNINIT
FE_OFC390_n_12937/A,FE_OFC390_n_12937/Y,negative_unate,10.169512,8.529087,10.169512,UNINIT,8.529087,UNINIT
FE_OFC388_n_12937/A,FE_OFC388_n_12937/Y,negative_unate,15.291895,13.306255,15.291895,UNINIT,13.306255,UNINIT
g49728/A1,g49728/Y,positive_unate,25.976713,29.516315,25.976713,UNINIT,29.516315,UNINIT
g49728/A1,g49728/Y,positive_unate,25.177435,28.071215,25.177435,UNINIT,28.071215,UNINIT
g49728/A1,g49728/Y,positive_unate,26.153097,29.516315,26.153097,UNINIT,29.516315,UNINIT
g49728/A1,g49728/Y,positive_unate,25.976713,26.204000,25.976713,UNINIT,26.204000,UNINIT
g49728/A2,g49728/Y,positive_unate,26.568628,27.236544,26.568628,UNINIT,27.236544,UNINIT
g49728/A2,g49728/Y,positive_unate,25.605844,25.784107,25.605844,UNINIT,25.784107,UNINIT
g49728/A2,g49728/Y,positive_unate,26.568628,27.236544,26.568628,UNINIT,27.236544,UNINIT
g49728/A2,g49728/Y,positive_unate,26.364004,23.917994,26.364004,UNINIT,23.917994,UNINIT
g49728/B1,g49728/Y,positive_unate,23.720982,27.477392,23.720982,UNINIT,27.477392,UNINIT
g49728/B1,g49728/Y,positive_unate,22.793812,26.114948,22.793812,UNINIT,26.114948,UNINIT
g49728/B1,g49728/Y,positive_unate,23.720982,27.477392,23.720982,UNINIT,27.477392,UNINIT
g49728/B1,g49728/Y,positive_unate,22.723898,22.935490,22.723898,UNINIT,22.935490,UNINIT
g49728/B2,g49728/Y,positive_unate,25.139149,26.730127,25.139149,UNINIT,26.730127,UNINIT
g49728/B2,g49728/Y,positive_unate,24.167519,25.294592,24.167519,UNINIT,25.294592,UNINIT
g49728/B2,g49728/Y,positive_unate,25.139149,26.730127,25.139149,UNINIT,26.730127,UNINIT
g49728/B2,g49728/Y,positive_unate,24.092829,22.327890,24.092829,UNINIT,22.327890,UNINIT
FE_OFC385_n_12937/A,FE_OFC385_n_12937/Y,negative_unate,14.494000,12.601107,14.494000,UNINIT,12.601107,UNINIT
FE_OFC391_n_12937/A,FE_OFC391_n_12937/Y,negative_unate,18.952845,16.392771,18.952845,UNINIT,16.392771,UNINIT
FE_OFC389_n_12937/A,FE_OFC389_n_12937/Y,negative_unate,11.759264,10.119456,11.759264,UNINIT,10.119456,UNINIT
FE_OFC386_n_12937/A,FE_OFC386_n_12937/Y,negative_unate,16.354340,14.193387,16.354340,UNINIT,14.193387,UNINIT
g42147__8246/A1,g42147__8246/Y,negative_unate,21.360075,19.313667,21.360075,UNINIT,19.313667,UNINIT
g42147__8246/A2,g42147__8246/Y,negative_unate,22.483507,17.193527,22.483507,UNINIT,17.193527,UNINIT
g42147__8246/B,g42147__8246/Y,negative_unate,25.934387,21.323086,25.934387,UNINIT,21.323086,UNINIT
g42147__8246/B,g42147__8246/Y,negative_unate,25.934387,21.323086,25.934387,UNINIT,21.323086,UNINIT
g42147__8246/B,g42147__8246/Y,negative_unate,24.372562,21.026615,24.372562,UNINIT,21.026615,UNINIT
g42147__8246/B,g42147__8246/Y,negative_unate,21.132980,20.956696,21.132980,UNINIT,20.956696,UNINIT
FE_OFC184_n_12937/A,FE_OFC184_n_12937/Y,negative_unate,11.998247,9.584407,11.998247,UNINIT,9.584407,UNINIT
FE_OFC177_n_12937/A,FE_OFC177_n_12937/Y,negative_unate,13.127718,10.562068,13.127718,UNINIT,10.562068,UNINIT
FE_OCPC429_FE_OFN93_n_12937/A,FE_OCPC429_FE_OFN93_n_12937/Y,positive_unate,21.560547,22.912031,21.560547,UNINIT,22.912031,UNINIT
FE_OFC183_n_12937/A,FE_OFC183_n_12937/Y,positive_unate,16.312250,17.800785,16.312250,UNINIT,17.800785,UNINIT
FE_OFC180_n_12937/A,FE_OFC180_n_12937/Y,positive_unate,16.517199,17.960142,16.517199,UNINIT,17.960142,UNINIT
FE_OFC178_n_12937/A,FE_OFC178_n_12937/Y,negative_unate,14.729518,12.105267,14.729518,UNINIT,12.105267,UNINIT
g47298/A1,g47298/Y,positive_unate,18.354694,18.751173,18.354694,UNINIT,18.751173,UNINIT
g47298/A2,g47298/Y,positive_unate,18.532303,19.636892,18.532303,UNINIT,19.636892,UNINIT
g47298/B,g47298/Y,positive_unate,18.920778,16.544897,18.920778,UNINIT,16.544897,UNINIT
g47298/B,g47298/Y,positive_unate,16.887255,16.544897,16.887255,UNINIT,16.544897,UNINIT
g47298/B,g47298/Y,positive_unate,18.920778,16.630630,18.920778,UNINIT,16.630630,UNINIT
g47298/B,g47298/Y,positive_unate,17.883938,16.065929,17.883938,UNINIT,16.065929,UNINIT
g51951/A,g51951/Y,negative_unate,15.857972,8.580379,15.857972,UNINIT,8.580379,UNINIT
g51951/B,g51951/Y,negative_unate,12.007102,8.531981,12.007102,UNINIT,8.531981,UNINIT
g51956/A,g51956/Y,negative_unate,14.897787,9.844726,14.897787,UNINIT,9.844726,UNINIT
g51956/B,g51956/Y,negative_unate,15.781549,11.593220,15.781549,UNINIT,11.593220,UNINIT
g51962/A,g51962/Y,negative_unate,13.738276,7.798244,13.738276,UNINIT,7.798244,UNINIT
g51962/B,g51962/Y,negative_unate,10.420679,8.165347,10.420679,UNINIT,8.165347,UNINIT
g51969/A,g51969/Y,negative_unate,12.368900,7.470758,12.368900,UNINIT,7.470758,UNINIT
g51969/B,g51969/Y,negative_unate,13.018882,8.573130,13.018882,UNINIT,8.573130,UNINIT
g51970/A,g51970/Y,negative_unate,16.323662,11.795088,16.323662,UNINIT,11.795088,UNINIT
g51970/B,g51970/Y,negative_unate,13.448298,12.070437,13.448298,UNINIT,12.070437,UNINIT
g51973/A,g51973/Y,negative_unate,12.825096,10.047325,12.825096,UNINIT,10.047325,UNINIT
g51973/B,g51973/Y,negative_unate,14.486501,12.648529,14.486501,UNINIT,12.648529,UNINIT
g51978/A,g51978/Y,negative_unate,14.996867,8.930751,14.996867,UNINIT,8.930751,UNINIT
g51978/B,g51978/Y,negative_unate,11.687503,9.243130,11.687503,UNINIT,9.243130,UNINIT
g51980/A,g51980/Y,negative_unate,16.230211,11.728481,16.230211,UNINIT,11.728481,UNINIT
g51980/B,g51980/Y,negative_unate,13.386379,12.012969,13.386379,UNINIT,12.012969,UNINIT
g51981/A,g51981/Y,negative_unate,15.298415,10.801291,15.298415,UNINIT,10.801291,UNINIT
g51981/B,g51981/Y,negative_unate,12.441803,11.137052,12.441803,UNINIT,11.137052,UNINIT
g51982/A,g51982/Y,negative_unate,15.638123,11.149625,15.638123,UNINIT,11.149625,UNINIT
g51982/B,g51982/Y,negative_unate,12.798697,11.468104,12.798697,UNINIT,11.468104,UNINIT
FE_OFC384_FE_DBTN18_n_14989/A,FE_OFC384_FE_DBTN18_n_14989/Y,positive_unate,15.038921,16.117996,15.038921,UNINIT,16.117996,UNINIT
g44214/A,g44214/Y,negative_unate,14.862830,10.378082,14.862830,UNINIT,10.378082,UNINIT
g44214/B,g44214/Y,negative_unate,12.012939,10.739157,12.012939,UNINIT,10.739157,UNINIT
g44217/A1,g44217/Y,negative_unate,19.463844,14.188362,19.463844,UNINIT,14.188362,UNINIT
g44217/A2,g44217/Y,negative_unate,19.750795,14.985874,19.750795,UNINIT,14.985874,UNINIT
g44217/B,g44217/Y,negative_unate,14.961177,18.928007,14.961177,UNINIT,18.928007,UNINIT
g44217/B,g44217/Y,negative_unate,14.961177,15.248521,14.961177,UNINIT,15.248521,UNINIT
g44217/B,g44217/Y,negative_unate,14.914940,17.990772,14.914940,UNINIT,17.990772,UNINIT
g44217/B,g44217/Y,negative_unate,15.316370,18.928007,15.316370,UNINIT,18.928007,UNINIT
g52489/A,g52489/Y,negative_unate,17.191950,9.631742,17.191950,UNINIT,9.631742,UNINIT
g52489/B,g52489/Y,negative_unate,13.302472,9.527992,13.302472,UNINIT,9.527992,UNINIT
g47733/A1,g47733/Y,negative_unate,15.901403,11.505889,15.901403,UNINIT,11.505889,UNINIT
g47733/A2,g47733/Y,negative_unate,16.643188,12.488787,16.643188,UNINIT,12.488787,UNINIT
g47733/B,g47733/Y,negative_unate,10.795877,14.517561,10.795877,UNINIT,14.517561,UNINIT
g47733/B,g47733/Y,negative_unate,10.795877,11.551837,10.795877,UNINIT,11.551837,UNINIT
g47733/B,g47733/Y,negative_unate,10.806644,13.654809,10.806644,UNINIT,13.654809,UNINIT
g47733/B,g47733/Y,negative_unate,11.178839,14.517561,11.178839,UNINIT,14.517561,UNINIT
g47735/A,g47735/Y,negative_unate,14.415833,9.501296,14.415833,UNINIT,9.501296,UNINIT
g47735/B,g47735/Y,negative_unate,15.255522,11.150578,15.255522,UNINIT,11.150578,UNINIT
g47740/A,g47740/Y,negative_unate,19.463436,14.862603,19.463436,UNINIT,14.862603,UNINIT
g47740/B,g47740/Y,negative_unate,16.560522,14.957150,16.560522,UNINIT,14.957150,UNINIT
g47741/A,g47741/Y,negative_unate,12.890777,9.119359,12.890777,UNINIT,9.119359,UNINIT
g47741/B,g47741/Y,negative_unate,14.147553,11.213893,14.147553,UNINIT,11.213893,UNINIT
g51953/A,g51953/Y,negative_unate,13.246195,6.364915,13.246195,UNINIT,6.364915,UNINIT
g51953/B,g51953/Y,negative_unate,8.936843,6.826960,8.936843,UNINIT,6.826960,UNINIT
g51954/A,g51954/Y,negative_unate,12.731065,5.916020,12.731065,UNINIT,5.916020,UNINIT
g51954/B,g51954/Y,negative_unate,8.477727,6.412536,8.477727,UNINIT,6.412536,UNINIT
g51957/A,g51957/Y,negative_unate,16.941315,8.441136,16.941315,UNINIT,8.441136,UNINIT
g51957/B,g51957/Y,negative_unate,11.797337,8.373091,11.797337,UNINIT,8.373091,UNINIT
g51967/A,g51967/Y,negative_unate,14.543704,9.592005,14.543704,UNINIT,9.592005,UNINIT
g51967/B,g51967/Y,negative_unate,16.663427,11.967453,16.663427,UNINIT,11.967453,UNINIT
g51968/A,g51968/Y,negative_unate,11.694677,8.121123,11.694677,UNINIT,8.121123,UNINIT
g51968/B,g51968/Y,negative_unate,13.688849,10.399530,13.688849,UNINIT,10.399530,UNINIT
g51972/A,g51972/Y,negative_unate,14.387964,8.394325,14.387964,UNINIT,8.394325,UNINIT
g51972/B,g51972/Y,negative_unate,9.515774,7.643929,9.515774,UNINIT,7.643929,UNINIT
g51977/A,g51977/Y,negative_unate,12.579812,5.779636,12.579812,UNINIT,5.779636,UNINIT
g51977/B,g51977/Y,negative_unate,8.338514,6.287344,8.338514,UNINIT,6.287344,UNINIT
g51979/A1,g51979/Y,negative_unate,16.841656,12.201933,16.841656,UNINIT,12.201933,UNINIT
g51979/A2,g51979/Y,negative_unate,18.310497,13.597066,18.310497,UNINIT,13.597066,UNINIT
g51979/B,g51979/Y,negative_unate,11.270701,14.668568,11.270701,UNINIT,14.668568,UNINIT
g51979/B,g51979/Y,negative_unate,11.270701,11.679422,11.270701,UNINIT,11.679422,UNINIT
g51979/B,g51979/Y,negative_unate,11.284914,13.838120,11.284914,UNINIT,13.838120,UNINIT
g51979/B,g51979/Y,negative_unate,11.655208,14.668568,11.655208,UNINIT,14.668568,UNINIT
g44212/A,g44212/Y,negative_unate,13.076018,6.209153,13.076018,UNINIT,6.209153,UNINIT
g44212/B,g44212/Y,negative_unate,8.777940,6.684013,8.777940,UNINIT,6.684013,UNINIT
g44220/A,g44220/Y,negative_unate,18.712023,9.858104,18.712023,UNINIT,9.858104,UNINIT
g44220/B,g44220/Y,negative_unate,13.447511,9.636294,13.447511,UNINIT,9.636294,UNINIT
g51950/A,g51950/Y,negative_unate,9.696514,6.010743,9.696514,UNINIT,6.010743,UNINIT
g51950/B,g51950/Y,negative_unate,13.382373,7.667295,13.382373,UNINIT,7.667295,UNINIT
g51952/A,g51952/Y,negative_unate,15.690669,5.689612,15.690669,UNINIT,5.689612,UNINIT
g51952/B,g51952/Y,negative_unate,8.599167,6.522010,8.599167,UNINIT,6.522010,UNINIT
g51955/A,g51955/Y,negative_unate,14.078642,4.170108,14.078642,UNINIT,4.170108,UNINIT
g51955/B,g51955/Y,negative_unate,7.211783,5.269010,7.211783,UNINIT,5.269010,UNINIT
g51959/A,g51959/Y,negative_unate,17.987612,6.548347,17.987612,UNINIT,6.548347,UNINIT
g51959/B,g51959/Y,negative_unate,9.953730,6.957508,9.953730,UNINIT,6.957508,UNINIT
g51960/A,g51960/Y,negative_unate,20.448814,9.889156,20.448814,UNINIT,9.889156,UNINIT
g51960/B,g51960/Y,negative_unate,12.548693,9.954735,12.548693,UNINIT,9.954735,UNINIT
g51961/A,g51961/Y,negative_unate,10.421503,6.640869,10.421503,UNINIT,6.640869,UNINIT
g51961/B,g51961/Y,negative_unate,14.458131,8.693014,14.458131,UNINIT,8.693014,UNINIT
g51963/A,g51963/Y,negative_unate,8.133329,4.657600,8.133329,UNINIT,4.657600,UNINIT
g51963/B,g51963/Y,negative_unate,11.035247,5.331637,11.035247,UNINIT,5.331637,UNINIT
g51965/A,g51965/Y,negative_unate,10.550927,6.752571,10.550927,UNINIT,6.752571,UNINIT
g51965/B,g51965/Y,negative_unate,14.626828,8.877627,14.626828,UNINIT,8.877627,UNINIT
g51966/A,g51966/Y,negative_unate,17.858301,7.632623,17.858301,UNINIT,7.632623,UNINIT
g51966/B,g51966/Y,negative_unate,10.363175,8.113873,10.363175,UNINIT,8.113873,UNINIT
g51971/A,g51971/Y,negative_unate,15.715656,5.746887,15.715656,UNINIT,5.746887,UNINIT
g51971/B,g51971/Y,negative_unate,8.645492,6.564377,8.645492,UNINIT,6.564377,UNINIT
g51974/A,g51974/Y,negative_unate,11.626635,7.686570,11.626635,UNINIT,7.686570,UNINIT
g51974/B,g51974/Y,negative_unate,16.216564,10.403861,16.216564,UNINIT,10.403861,UNINIT
g51975/A,g51975/Y,negative_unate,17.334667,7.200472,17.334667,UNINIT,7.200472,UNINIT
g51975/B,g51975/Y,negative_unate,9.975882,7.764628,9.975882,UNINIT,7.764628,UNINIT
g51984/A,g51984/Y,negative_unate,11.199843,6.688814,11.199843,UNINIT,6.688814,UNINIT
g51984/B,g51984/Y,negative_unate,14.239977,8.505518,14.239977,UNINIT,8.505518,UNINIT
g44215/A,g44215/Y,negative_unate,18.690943,8.365371,18.690943,UNINIT,8.365371,UNINIT
g44215/B,g44215/Y,negative_unate,11.047279,8.708084,11.047279,UNINIT,8.708084,UNINIT
g44221/A,g44221/Y,negative_unate,14.835801,4.944949,14.835801,UNINIT,4.944949,UNINIT
g44221/B,g44221/Y,negative_unate,7.919254,5.903625,7.919254,UNINIT,5.903625,UNINIT
g47738/A,g47738/Y,negative_unate,16.005123,6.002037,16.005123,UNINIT,6.002037,UNINIT
g47738/B,g47738/Y,negative_unate,8.877952,6.773993,8.877952,UNINIT,6.773993,UNINIT
g47742/A,g47742/Y,negative_unate,8.011193,8.762897,8.011193,UNINIT,8.762897,UNINIT
g47742/B,g47742/Y,negative_unate,11.673609,9.421513,11.673609,UNINIT,9.421513,UNINIT
g51947/A,g51947/Y,negative_unate,15.758183,5.751317,15.758183,UNINIT,5.751317,UNINIT
g51947/B,g51947/Y,negative_unate,8.655784,6.573810,8.655784,UNINIT,6.573810,UNINIT
g51949/A,g51949/Y,negative_unate,9.922903,6.205286,9.922903,UNINIT,6.205286,UNINIT
g51949/B,g51949/Y,negative_unate,13.701692,7.972331,13.701692,UNINIT,7.972331,UNINIT
g55166/A1,g55166/Y,negative_unate,20.713743,18.963999,20.713743,UNINIT,18.963999,UNINIT
g55166/A1,g55166/Y,negative_unate,20.713743,15.239520,20.713743,UNINIT,15.239520,UNINIT
g55166/A1,g55166/Y,negative_unate,21.397507,18.963999,21.397507,UNINIT,18.963999,UNINIT
g55166/A1,g55166/Y,negative_unate,20.810919,18.189100,20.810919,UNINIT,18.189100,UNINIT
g55166/A2,g55166/Y,negative_unate,20.540453,17.135256,20.540453,UNINIT,17.135256,UNINIT
g55166/A2,g55166/Y,negative_unate,20.540453,13.414303,20.540453,UNINIT,13.414303,UNINIT
g55166/A2,g55166/Y,negative_unate,21.246725,17.135256,21.246725,UNINIT,17.135256,UNINIT
g55166/A2,g55166/Y,negative_unate,20.658621,16.391220,20.658621,UNINIT,16.391220,UNINIT
g55166/B1,g55166/Y,negative_unate,22.443521,17.602051,22.443521,UNINIT,17.602051,UNINIT
g55166/B1,g55166/Y,negative_unate,22.443521,14.804255,22.443521,UNINIT,14.804255,UNINIT
g55166/B1,g55166/Y,negative_unate,22.322229,17.602051,22.322229,UNINIT,17.602051,UNINIT
g55166/B1,g55166/Y,negative_unate,21.714394,16.852190,21.714394,UNINIT,16.852190,UNINIT
g55166/B2,g55166/Y,negative_unate,22.891293,17.102043,22.891293,UNINIT,17.102043,UNINIT
g55166/B2,g55166/Y,negative_unate,22.891293,14.140472,22.891293,UNINIT,14.140472,UNINIT
g55166/B2,g55166/Y,negative_unate,22.771416,17.102043,22.771416,UNINIT,17.102043,UNINIT
g55166/B2,g55166/Y,negative_unate,22.203327,16.351582,22.203327,UNINIT,16.351582,UNINIT
g47287/A,g47287/Y,positive_unate,19.394968,22.021978,19.394968,UNINIT,22.021978,UNINIT
g47287/B,g47287/Y,positive_unate,20.359081,21.660032,20.359081,UNINIT,21.660032,UNINIT
g43328/A,g43328/Y,positive_unate,18.962700,20.276278,18.962700,UNINIT,20.276278,UNINIT
g43328/B,g43328/Y,positive_unate,19.809280,19.122467,19.809280,UNINIT,19.122467,UNINIT
g44283/A,g44283/Y,positive_unate,21.554770,22.546305,21.554770,UNINIT,22.546305,UNINIT
g44283/B,g44283/Y,positive_unate,22.347593,21.871798,22.347593,UNINIT,21.871798,UNINIT
g46993/A1,g46993/Y,negative_unate,17.043705,12.044001,17.043705,UNINIT,12.044001,UNINIT
g46993/A1,g46993/Y,negative_unate,15.924894,11.233070,15.924894,UNINIT,11.233070,UNINIT
g46993/A1,g46993/Y,negative_unate,17.043705,11.814282,17.043705,UNINIT,11.814282,UNINIT
g46993/A1,g46993/Y,negative_unate,14.744603,12.044001,14.744603,UNINIT,12.044001,UNINIT
